

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-12-04 21:18:26 / ................................................ ~ 3s
  2025-12-04 21:38:58 /api/login ................................. ~ 500.87ms
  2025-12-04 21:38:59 /api/driver/login .......................... ~ 501.39ms
  2025-12-04 21:39:00 /api/shuttle/match-route ................... ~ 501.12ms
  2025-12-04 21:39:42 /api/login ................................. ~ 501.53ms
  2025-12-04 21:39:43 /api/driver/login ................................ ~ 1s
  2025-12-04 21:39:43 /api/shuttle/match-route ..................... ~ 0.14ms
  2025-12-04 21:39:51 /api/login ................................. ~ 500.84ms
  2025-12-04 21:39:52 /api/driver/login .......................... ~ 500.90ms
  2025-12-04 21:39:52 /api/shuttle/match-route ..................... ~ 0.07ms
  2025-12-04 21:41:28 /api/login ................................. ~ 500.64ms
  2025-12-04 21:41:28 /api/driver/login .......................... ~ 500.66ms
  2025-12-04 21:41:29 /api/shuttle/match-route ..................... ~ 0.07ms
  2025-12-04 21:41:29 /api/shuttle/create .............................. ~ 1s
  2025-12-04 21:41:58 /api/login ................................... ~ 0.24ms
  2025-12-04 21:41:58 /api/driver/login .......................... ~ 501.10ms
  2025-12-04 21:41:59 /api/shuttle/match-route ................... ~ 500.83ms
  2025-12-04 21:41:59 /api/shuttle/create ........................ ~ 500.57ms
  2025-12-04 21:42:33 /api/login ................................. ~ 501.43ms
  2025-12-04 21:42:34 /api/driver/login .......................... ~ 501.21ms
  2025-12-04 21:42:35 /api/shuttle/match-route ................... ~ 501.99ms
  2025-12-04 21:42:35 /api/shuttle/create ........................ ~ 501.56ms
  2025-12-04 21:43:15 /api/login ................................... ~ 0.23ms
  2025-12-04 21:43:16 /api/driver/login .......................... ~ 500.77ms
  2025-12-04 21:43:16 /api/shuttle/match-route ................... ~ 500.78ms
  2025-12-04 21:43:17 /api/shuttle/create .......................... ~ 0.25ms
  2025-12-04 21:43:43 /api/login ................................. ~ 500.92ms
  2025-12-04 21:43:44 /api/driver/login .......................... ~ 501.54ms
  2025-12-04 21:43:45 /api/shuttle/match-route ................... ~ 501.39ms
  2025-12-04 21:43:45 /api/shuttle/create .......................... ~ 0.25ms
  2025-12-04 21:44:04 /api/login ................................... ~ 0.28ms
  2025-12-04 21:44:05 /api/driver/login .......................... ~ 502.61ms
  2025-12-04 21:44:05 /api/shuttle/match-route ................... ~ 501.11ms
  2025-12-04 21:44:05 /api/shuttle/create .......................... ~ 0.14ms
  2025-12-04 21:44:26 /api/login ................................... ~ 0.35ms
  2025-12-04 21:44:27 /api/driver/login .......................... ~ 500.88ms
  2025-12-04 21:44:28 /api/shuttle/match-route ................... ~ 501.74ms
  2025-12-04 21:44:28 /api/shuttle/create .......................... ~ 0.43ms
  2025-12-04 21:44:45 /api/login ................................. ~ 501.36ms
  2025-12-04 21:44:45 /api/driver/login .......................... ~ 500.99ms
  2025-12-04 21:44:46 /api/shuttle/match-route ..................... ~ 0.16ms
  2025-12-04 21:44:46 /api/shuttle/create ........................ ~ 501.22ms
  2025-12-04 21:44:47 /api/driver/shuttle/start .................. ~ 500.77ms
  2025-12-04 21:45:14 /api/login ................................. ~ 500.94ms
  2025-12-04 21:45:15 /api/driver/login ................................ ~ 1s
  2025-12-04 21:45:16 /api/shuttle/match-route ................... ~ 501.03ms
  2025-12-04 21:45:16 /api/shuttle/create .......................... ~ 0.15ms
  2025-12-04 21:45:41 /api/login ................................. ~ 501.49ms
  2025-12-04 21:45:42 /api/driver/login .......................... ~ 500.80ms
  2025-12-04 21:45:43 /api/shuttle/match-route ................... ~ 500.78ms
  2025-12-04 21:45:43 /api/shuttle/create ........................ ~ 501.06ms
  2025-12-04 21:45:44 /api/driver/shuttle/start .................. ~ 500.60ms
  2025-12-04 21:46:05 /api/login ................................. ~ 501.56ms
  2025-12-04 21:46:06 /api/driver/login ................................ ~ 1s
  2025-12-04 21:46:06 /api/shuttle/match-route ................... ~ 500.78ms
  2025-12-04 21:46:07 /api/shuttle/create ........................ ~ 500.63ms
  2025-12-04 21:46:07 /api/driver/shuttle/start .................... ~ 0.16ms
  2025-12-04 21:46:36 /api/login ................................. ~ 500.88ms
  2025-12-04 21:46:36 /api/driver/login .......................... ~ 501.52ms
  2025-12-04 21:46:37 /api/shuttle/match-route ................... ~ 501.16ms
  2025-12-04 21:46:37 /api/shuttle/create ........................ ~ 500.83ms
  2025-12-04 21:46:37 /api/driver/shuttle/start .................... ~ 0.13ms
  2025-12-04 21:46:57 /api/login ................................. ~ 500.75ms
  2025-12-04 21:46:57 /api/driver/login ................................ ~ 1s
  2025-12-04 21:46:58 /api/shuttle/match-route ..................... ~ 0.42ms
  2025-12-04 21:46:58 /api/shuttle/create ........................ ~ 500.60ms
  2025-12-04 21:46:59 /api/driver/shuttle/start .................. ~ 501.10ms
  2025-12-04 21:47:44 /api/login ................................. ~ 500.75ms
  2025-12-04 21:47:44 /api/driver/login .......................... ~ 500.56ms
  2025-12-04 21:47:45 /api/shuttle/match-route ................... ~ 501.21ms
  2025-12-04 21:47:45 /api/shuttle/create ........................ ~ 500.78ms
  2025-12-04 21:47:45 /api/driver/shuttle/start .................... ~ 0.09ms
  2025-12-04 21:47:46 /api/driver/shuttle/arrive ................. ~ 501.51ms
  2025-12-04 21:47:46 /api/driver/shuttle/depart ................... ~ 0.54ms
  2025-12-04 21:47:46 /api/driver/shuttle/arrive ................. ~ 501.66ms
  2025-12-04 21:47:47 /api/driver/shuttle/depart ................. ~ 501.22ms
  2025-12-04 21:48:39 /api/login ................................. ~ 501.82ms
  2025-12-04 21:48:40 /api/login ................................. ~ 500.74ms
  2025-12-04 21:48:41 /api/driver/login .......................... ~ 501.85ms
  2025-12-04 21:48:41 /api/shuttle/create ........................ ~ 501.07ms
  2025-12-04 21:48:42 /api/shuttle/create ........................ ~ 501.22ms
  2025-12-04 21:48:42 /api/driver/shuttle/start .................. ~ 500.87ms
  2025-12-04 21:49:01 /api/login ................................. ~ 500.81ms
  2025-12-04 21:49:01 /api/login ................................. ~ 501.13ms
